Date,Open,High,Low,Close,Adj Close,Volume
2017-08-17,4261.48,4485.39,4200.74,4285.08,3454770,3454770
2017-08-18,4285.08,4371.52,3938.77,4108.37,5086958,5086958
2017-08-19,4108.37,4184.69,3850.0,4139.98,1549483,1549483
2017-08-20,4120.98,4211.08,4032.62,4086.29,1930364,1930364
2017-08-21,4069.13,4119.62,3911.79,4016.0,2797231,2797231
2017-08-22,4016.0,4104.82,3400.0,4040.0,3752505,3752505
2017-08-23,4040.0,4265.8,4013.89,4114.01,4148686,4148686
2017-08-24,4147.0,4371.68,4085.01,4316.01,3296476,3296476
2017-08-25,4316.01,4453.91,4247.48,4280.68,2484637,2484637
2017-08-26,4280.71,4367.0,4212.41,4337.44,977865,977865
2017-08-27,4332.51,4400.0,4285.54,4310.01,1521580,1521580
2017-08-28,4310.01,4399.82,4124.54,4386.69,2591660,2591660
2017-08-29,4353.65,4625.85,4313.55,4587.48,2682483,2682483
2017-08-30,4564.52,4647.51,4416.01,4555.14,3683714,3683714
2017-08-31,4555.14,4745.42,4555.14,4724.89,2579878,2579878
2017-09-01,4689.89,4885.55,4654.88,4834.91,2665165,2665165
2017-09-02,4796.16,4939.19,4286.87,4472.14,4257723,4257723
2017-09-03,4508.5,4714.76,4298.33,4509.08,3121052,3121052
2017-09-04,4505.0,4527.49,3972.51,4100.11,5909947,5909947
2017-09-05,4106.97,4484.99,3603.0,4366.47,5083453,5083453
2017-09-06,4366.49,4662.87,4335.26,4619.77,3626346,3626346
2017-09-07,4619.77,4788.59,4438.19,4691.61,2305795,2305795
2017-09-08,4691.66,4735.39,4028.93,4282.8,4866527,4866527
2017-09-09,4282.8,4426.62,4150.06,4258.81,2815383,2815383
2017-09-10,4258.81,4283.0,3801.0,4130.37,2700371,2700371
2017-09-11,4153.62,4334.43,4098.91,4208.47,2956842,2956842
2017-09-12,4208.6,4394.59,4040.8,4163.72,3725190,3725190
2017-09-13,4159.72,4165.38,3760.0,3944.69,3570365,3570365
2017-09-14,3944.0,3993.0,3165.13,3189.02,5914261,5914261
2017-09-15,3188.01,3856.0,2817.0,3700.0,6588767,6588767
2017-09-16,3674.01,3950.0,3470.66,3714.95,4804878,4804878
2017-09-17,3685.23,3748.21,3499.02,3699.99,2466490,2466490
2017-09-18,3690.0,4123.2,3690.0,4035.01,4069033,4069033
2017-09-19,4060.0,4089.97,3830.91,3910.04,3558315,3558315
2017-09-20,3910.04,4046.08,3820.0,3900.0,2839584,2839584
2017-09-21,3889.99,3910.0,3567.0,3609.99,3757043,3757043
2017-09-22,3592.84,3750.0,3505.55,3595.87,3031771,3031771
2017-09-23,3595.88,3817.19,3542.91,3780.0,2799706,2799706
2017-09-24,3779.54,3789.99,3622.76,3660.02,2445788,2445788
2017-09-25,3660.02,3979.87,3653.69,3920.75,2784170,2784170
2017-09-26,3928.0,3976.99,3850.05,3882.35,2061195,2061195
2017-09-27,3882.36,4249.94,3872.81,4193.0,2554629,2554629
2017-09-28,4192.11,4300.0,4101.0,4174.5,3553178,3553178
2017-09-29,4178.98,4263.86,3952.01,4174.69,6571746,6571746
2017-09-30,4175.0,4380.0,4138.1,4378.51,3088354,3088354
2017-10-01,4378.49,4406.52,4240.04,4378.48,3137143,3137143
2017-10-02,4400.0,4561.63,4360.0,4380.0,2905282,2905282
2017-10-03,4380.0,4467.33,4180.8,4310.0,4627422,4627422
2017-10-04,4314.9,4373.0,4142.0,4208.59,3676415,3676415
2017-10-05,4208.59,4355.0,4110.0,4292.43,3295532,3295532
2017-10-06,4318.99,4417.0,4292.0,4369.0,2212035,2212035
2017-10-07,4369.0,4479.5,4312.56,4423.0,1302533,1302533
2017-10-08,4425.0,4658.0,4425.0,4640.0,2347356,2347356
2017-10-09,4640.0,4889.98,4550.0,4786.95,3040508,3040508
2017-10-10,4786.95,4960.0,4680.59,4783.06,5044283,5044283
2017-10-11,4783.06,4881.61,4710.0,4821.43,3609240,3609240
2017-10-12,4821.43,5439.99,4810.16,5430.0,6659759,6659759
2017-10-13,5439.99,5846.17,5379.84,5649.98,10597340,10597340
2017-10-14,5650.0,5900.0,5580.01,5869.99,5533972,5533972
2017-10-15,5855.03,5922.3,5400.01,5709.99,7553650,7553650
2017-10-16,5710.0,5788.91,5585.19,5760.02,8701914,8701914
2017-10-17,5760.0,5774.98,5508.63,5595.0,8041662,8041662
2017-10-18,5595.0,5596.0,5037.95,5512.06,12456909,12456909
2017-10-19,5513.0,5710.0,5490.26,5683.9,10609368,10609368
2017-10-20,5683.31,6110.0,5600.0,6010.01,11486552,11486552
2017-10-21,6013.72,6171.0,5850.03,6024.97,10114821,10114821
2017-10-22,6003.27,6060.0,5720.03,5950.02,8035415,8035415
2017-10-23,5975.0,6080.0,5621.03,5915.93,10607190,10607190
2017-10-24,5909.47,5925.0,5450.0,5477.03,14564495,14564495
2017-10-25,5506.92,5704.96,5286.98,5689.99,12544847,12544847
2017-10-26,5670.1,5939.99,5650.0,5861.77,11417126,11417126
2017-10-27,5861.77,5980.0,5649.24,5768.83,8167069,8167069
2017-10-28,5768.79,5850.02,5630.03,5719.64,7308076,7308076
2017-10-29,5709.98,6189.88,5648.01,6169.98,10620967,10620967
2017-10-30,6133.01,6248.68,6030.0,6120.5,9030219,9030219
2017-10-31,6120.52,6498.01,6100.0,6463.0,9487640,9487640
2017-11-01,6463.0,6774.67,6338.02,6753.98,10951171,10951171
2017-11-02,6753.98,7300.0,6685.1,7019.98,17369001,17369001
2017-11-03,7010.31,7346.34,6923.0,7115.04,13614451,13614451
2017-11-04,7115.02,7480.99,6901.0,7357.09,10064538,10064538
2017-11-05,7357.27,7590.25,7279.02,7345.01,9000403,9000403
2017-11-06,7345.1,7401.0,6906.0,6960.12,12673524,12673524
2017-11-07,6981.72,7198.49,6901.0,7064.04,10173272,10173272
2017-11-08,7070.0,7770.02,6651.0,7303.0,20491286,20491286
2017-11-09,7303.01,7392.0,7015.0,7079.99,13798534,13798534
2017-11-10,7079.0,7279.91,6255.01,6506.98,22083345,22083345
2017-11-11,6503.0,6797.98,6100.0,6245.05,17681445,17681445
2017-11-12,6245.05,6630.0,5325.01,5811.03,29711508,29711508
2017-11-13,5839.94,6697.47,5699.99,6465.99,16498136,16498136
2017-11-14,6465.99,6684.98,6311.07,6574.99,8168729,8168729
2017-11-15,6575.99,7298.0,6575.99,7240.06,12446186,12446186
2017-11-16,7240.14,7940.0,7076.0,7864.5,17499577,17499577
2017-11-17,7876.98,7989.0,7451.0,7699.19,31024092,31024092
2017-11-18,7680.01,7819.99,7422.0,7761.94,30334498,30334498
2017-11-19,7761.94,8123.15,7650.33,8038.0,30322635,30322635
2017-11-20,8057.11,8319.99,7954.0,8212.0,31567135,31567135
2017-11-21,8212.49,8400.0,7801.0,8119.51,37074997,37074997
2017-11-22,8091.09,8322.68,8091.09,8205.92,29124078,29124078
2017-11-23,8233.03,8260.0,8000.0,8019.99,33400702,33400702
2017-11-24,8019.97,8369.0,7850.0,8138.0,35840264,35840264
2017-11-25,8138.99,8734.78,8090.0,8700.01,36093005,36093005
2017-11-26,8700.04,9350.0,8604.72,9128.02,37138533,37138533
2017-11-27,9128.0,9654.28,9112.04,9650.0,42961064,42961064
2017-11-28,9650.0,9939.0,9570.5,9896.8,48235644,48235644
2017-11-29,9896.79,11300.03,8520.0,9687.88,135976167,135976167
2017-11-30,9687.88,10900.0,8850.8,9838.96,91430904,91430904
2017-12-01,9837.0,10898.0,9380.0,10782.99,62260697,62260697
2017-12-02,10775.04,11190.0,10620.0,10890.01,52046689,52046689
